"","year","dem_2p","district","state"
"132",2016,0.421346281578525,"23","CA"
"133",2020,0.650826388461345,"24","CA"
"134",2018,0.594834532676556,"24","CA"
"135",2016,0.637227819026396,"24","CA"
"136",2020,0.585368936227703,"25","CA"
"137",2018,0.555147458918272,"25","CA"
"138",2016,0.602657529858601,"25","CA"
"139",2020,0.600629583793616,"26","CA"
"140",2018,0.547511903162734,"26","CA"
"141",2016,0.590016334990252,"26","CA"
"142",2020,0.564012282621179,"27","CA"
"143",2018,0.527135441245871,"27","CA"
"144",2016,0.55307891751742,"27","CA"
"145",2020,0.676092866293785,"28","CA"
"146",2018,0.638220381346854,"28","CA"
"147",2016,0.686681720639146,"28","CA"
"148",2020,0.761952114752588,"29","CA"
"149",2018,0.782963504165734,"29","CA"
"150",2016,0.824353103223937,"29","CA"
"151",2020,0.733903584342128,"30","CA"
"152",2018,0.771861358576722,"30","CA"
"153",2016,0.778768553329373,"30","CA"
"154",2020,0.660915011714828,"31","CA"
"155",2018,0.64663343770635,"31","CA"
"156",2016,0.700989143320354,"31","CA"
"157",2020,0.706687167941132,"32","CA"
"158",2018,0.702631853708013,"32","CA"
"159",2016,0.736921313634163,"32","CA"
"160",2020,0.633593107783562,"33","CA"
"161",2018,0.610120897661969,"33","CA"
"162",2016,0.662854621038351,"33","CA"
"163",2020,0.829276664141277,"34","CA"
"164",2018,0.848508257048143,"34","CA"
"165",2016,0.890781846066962,"34","CA"
"166",2020,0.645575599877643,"35","CA"
"167",2018,0.632483559925497,"35","CA"
"168",2016,0.686777828937271,"35","CA"
"169",2020,0.724672213880757,"36","CA"
"170",2018,0.696439224994656,"36","CA"
"171",2016,0.735623686753271,"36","CA"
"172",2020,0.873642671751682,"37","CA"
"173",2018,0.883131421964103,"37","CA"
"174",2016,0.924469857193659,"37","CA"
"175",2020,0.654311508579592,"38","CA"
"176",2018,0.632778486713707,"38","CA"
"177",2016,0.690056639395846,"38","CA"
"178",2020,0.637856211117801,"39","CA"
"179",2018,0.60428044564952,"39","CA"
"180",2016,0.657306476219957,"39","CA"
"181",2020,0.508706694904132,"40","CA"
"182",2018,0.441276419676045,"40","CA"
"183",2016,0.475772117550344,"40","CA"
"184",2020,0.499813211830556,"41","CA"
"185",2018,0.459086093921513,"41","CA"
"186",2016,0.474849627435138,"41","CA"
"187",2020,0.736357034730175,"42","CA"
"188",2018,0.720561821219716,"42","CA"
"189",2016,0.771730420968287,"42","CA"
"190",2020,0.826142885414605,"43","CA"
"191",2018,0.832104145714605,"43","CA"
"192",2016,0.880970195785011,"43","CA"
"193",2020,0.747283445672495,"44","CA"
"194",2018,0.74334713187463,"44","CA"
"195",2016,0.799596633083455,"44","CA"
"196",2020,0.53225619552588,"45","CA"
"197",2018,0.505355575065847,"45","CA"
"198",2016,0.572249659400545,"45","CA"
"199",2020,0.662226083159743,"46","CA"
"200",2018,0.650070174951016,"46","CA"
"201",2016,0.714529017926013,"46","CA"
"202",2020,0.555057218631132,"47","CA"
"203",2018,0.514189314766895,"47","CA"
"204",2016,0.539141022962253,"47","CA"
"205",2020,0.437519583239383,"48","CA"
"206",2018,0.383374960595553,"48","CA"
"207",2016,0.395329762367774,"48","CA"
"208",2020,0.559453471196455,"49","CA"
"209",2018,0.508553847424554,"49","CA"
"210",2016,0.531050164901927,"49","CA"
"211",2020,0.675830989658303,"50","CA"
"212",2018,0.618595703751202,"50","CA"
"213",2016,0.652480891078263,"50","CA"
"214",2020,0.646529354763651,"51","CA"
"215",2018,0.597535321883463,"51","CA"
"216",2016,0.62920148913539,"51","CA"
"217",2020,0.688530308101538,"52","CA"
"218",2018,0.672894031016645,"52","CA"
"219",2016,0.747376291213328,"52","CA"
"220",2020,0.813722750139743,"1","CO"
"221",2018,0.798480583754652,"1","CO"
"222",2016,0.795514965245357,"1","CO"
"223",2020,0.717739920944745,"2","CO"
"224",2018,0.706457380223143,"2","CO"
"225",2016,0.67970134510909,"2","CO"
"226",2020,0.457529409420976,"3","CO"
"227",2018,0.469649309455502,"3","CO"
"228",2016,0.423400058445354,"3","CO"
"229",2020,0.405118318686525,"4","CO"
"230",2018,0.377887281595563,"4","CO"
"231",2016,0.350421580781888,"4","CO"
"232",2020,0.44836149197843,"5","CO"
"233",2018,0.416768995370998,"5","CO"
"234",2016,0.379677238892393,"5","CO"
"235",2020,0.624238536234983,"6","CO"
"236",2018,0.588410536134174,"6","CO"
"237",2016,0.573756693951049,"6","CO"
"238",2020,0.572018569878211,"7","CO"
"239",2018,0.551678406436087,"7","CO"
"240",2016,0.515482346749651,"7","CO"
"241",2020,0.530924765783856,"8","CO"
"242",2018,0.51757662814275,"8","CO"
"243",2016,0.497387992904454,"8","CO"
"244",2020,0.643056562357168,"1","CT"
"245",2018,0.563013008446167,"1","CT"
"246",2016,0.622673613401042,"1","CT"
"247",2020,0.55044494317122,"2","CT"
"248",2018,0.474579765687535,"2","CT"
"249",2016,0.511705859156099,"2","CT"
"250",2020,0.605085768985748,"3","CT"
"251",2018,0.531348010375704,"3","CT"
"252",2016,0.579674707919058,"3","CT"
"253",2020,0.660055801334916,"4","CT"
"254",2018,0.550898179179204,"4","CT"
"255",2016,0.629602220166512,"4","CT"
"256",2020,0.556892061912982,"5","CT"
"257",2018,0.473997589962904,"5","CT"
"258",2016,0.524565191918177,"5","CT"
"259",2020,0.596267441649845,"1","DE"
"260",2018,0.61319503994223,"1","DE"
"261",2016,0.559602680526206,"1","DE"
"262",2020,0.338633725003503,"1","FL"
"263",2018,0.323826040736778,"1","FL"
"264",2016,0.301559663065155,"1","FL"
"265",2020,0.448188814212553,"2","FL"
"266",2018,0.465199027262255,"2","FL"
"267",2016,0.440894390698426,"2","FL"
"268",2020,0.431341098626981,"3","FL"
"269",2018,0.443464739153466,"3","FL"
"270",2016,0.425518033059326,"3","FL"
"271",2020,0.466325435185708,"4","FL"
"272",2018,0.476259079578654,"4","FL"
"273",2016,0.44630320365786,"4","FL"
